customer_id,total_orders,total_revenue,avg_order_value,last_order_date
GUEST_CUSTOMER,1960,77201644.44,39388.59,2025-12-31
CUST14971,258,10686804.35,41421.72,2025-12-31
CUST10950,203,8765238.03,43178.51,2025-12-31
CUST00532,212,8711428.74,41091.65,2025-12-31
CUST03650,187,7896509.63,42227.32,2025-12-29
CUST01465,150,7625296.16,50835.31,2025-12-30
CUST05789,141,7366992.89,52248.18,2025-12-31
CUST05324,138,6616597.56,47946.36,2025-12-30
CUST06759,155,6122162.4,39497.82,2025-12-29
CUST13053,140,5780497.91,41289.27,2025-12-30
CUST12448,108,5776920.16,53490.0,2025-12-29
CUST11500,129,5238711.15,40610.16,2025-12-30
CUST09928,171,5158712.41,30167.91,2025-12-31
CUST14946,114,5095276.99,44695.41,2025-12-19
CUST02530,103,5091266.22,49429.77,2025-12-30
CUST06124,141,5074313.91,35988.04,2025-12-29
CUST11658,114,4922548.11,43180.25,2025-12-21
CUST01210,92,4917860.51,53455.01,2025-12-23
CUST07456,108,4729408.34,43790.82,2025-12-24
CUST11662,102,4620831.3,45302.27,2025-12-21
CUST11473,105,4571084.13,43534.13,2025-12-25
CUST09029,83,4526365.95,54534.53,2025-12-14
CUST07599,92,4500880.23,48922.61,2025-12-25
CUST12960,109,4423329.13,40581.0,2025-12-29
CUST03302,104,4296071.76,41308.38,2025-12-25
CUST03403,102,4168410.54,40866.77,2025-12-20
CUST01055,107,4074009.97,38074.86,2025-12-29
CUST06526,95,4056226.15,42697.12,2025-12-14
CUST04718,62,3928137.6,63357.06,2025-12-01
CUST12405,115,3927111.85,34148.8,2025-12-29
CUST04176,66,3900780.1,59102.73,2025-12-11
CUST01955,99,3897165.32,39365.31,2025-12-22
CUST09834,68,3795610.5,55817.8,2025-12-29
CUST10375,86,3687043.46,42872.6,2025-12-19
CUST03396,78,3686067.19,47257.27,2025-12-28
CUST01105,68,3650512.89,53684.01,2025-12-19
CUST13197,82,3594779.98,43838.78,2025-12-29
CUST01728,77,3550260.01,46107.27,2025-12-28
CUST03408,81,3541371.79,43720.64,2025-12-22
CUST12913,82,3452829.95,42107.68,2025-12-26
CUST05831,65,3442641.12,52963.71,2025-12-27
CUST04257,94,3348380.8,35621.07,2025-12-31
CUST00533,69,3197837.19,46345.47,2025-12-30
CUST06452,70,3171603.02,45308.61,2025-12-22
CUST08613,63,3166836.29,50267.24,2025-12-27
CUST08184,64,3160627.28,49384.8,2025-12-31
CUST13096,85,3154213.42,37108.39,2025-12-21
CUST04034,65,3145725.29,48395.77,2025-12-26
CUST03503,79,3121362.37,39510.92,2025-12-16
CUST14701,56,3108093.11,55501.66,2025-12-29
CUST01617,44,3105093.06,70570.3,2025-12-29
CUST09392,97,3078322.76,31735.29,2025-12-03
CUST14338,47,3055871.02,65018.53,2025-12-28
CUST11951,64,3050501.36,47664.08,2025-11-23
CUST03444,81,3000595.65,37044.39,2025-12-30
CUST13630,91,2996942.84,32933.44,2025-12-27
CUST13136,64,2910766.61,45480.73,2025-12-10
CUST04463,67,2902775.49,43325.01,2025-12-30
CUST14431,71,2880001.4,40563.4,2025-12-18
CUST10304,89,2862733.38,32165.54,2025-12-29
